id,source_ticker,source_name,source_cik,target_ticker,target_name,target_cik,relationship_type,raw_mention,context,confidence,confidence_tier,ai_label,ai_confidence,ai_reasoning,ai_business_logic,ai_alternative
40,LTRN,Lantern Pharma Inc.,,SDGR,"Schrodinger, Inc.",,HAS_COMPETITOR,Schrodinger,"Our competition in AI-driven
drug development for oncology includes, but is not limited to, the following:

| ● | Development of drug candidates: AbCellera, Atomwise, Benevolent AI, Berg Health, Exsci",1.000,low,correct,0.84,"The raw mention ""Schrodinger"" appears in a list of companies described as competition in AI-driven drug development for oncology (alongside AbCellera, Atomwise, BenevolentAI, etc.). In this context, ""Schrodinger"" is clearly being used as a company name, not as the physics concept (Schrödinger) or a generic term. Schrödinger, Inc. (SDGR) is a well-known publicly traded computational drug discovery/software platform company that competes in the broader AI/compute-enabled drug discovery space, making it a plausible competitor reference for Lantern Pharma’s AI/ML-driven oncology development positioning.","Lantern Pharma positions itself as using AI/ML and biomarker data to improve oncology drug development. Schrödinger, Inc. provides computational platforms for drug discovery used by biopharma and also conducts internal therapeutic programs; it commonly appears in peer/competitor sets for AI/computational drug discovery. Thus a competitor relationship is commercially plausible.","Unlikely here. The only alternative would be a non-public or non-corporate reference to Schrödinger (the scientist/term), but the competitor-list context strongly indicates the company Schrödinger, Inc."
41,ETI-P,"ENTERGY TEXAS, INC.",,ELC,"ENTERGY LOUISIANA, LLC",,HAS_PARTNER,Entergy Louisiana,"Entergy Louisiana, as successor in interest to Entergy Gulf States Louisiana, now holds the agreement with the facility;
•In March 2013, Entergy Gulf States Louisiana and Agrilectric Power Partners, L",1.000,high,correct,0.90,"The raw mention ""Entergy Louisiana"" is an exact/common-form reference to the regulated utility subsidiary Entergy Louisiana, LLC (often referenced without the legal suffix). The surrounding context explicitly discusses Entergy Louisiana as successor in interest to Entergy Gulf States Louisiana holding an agreement with a facility, which aligns with known corporate lineage and contracting activity of Entergy Louisiana. There are no contextual clues suggesting a different unrelated company; within an Entergy Texas 10-K, references to other Entergy operating companies are common and typically refer to the Entergy subsidiary with that state name.","Plausible and common: Entergy Texas and Entergy Louisiana are affiliated operating companies within the Entergy system and can be counterparties/participants in agreements involving facilities, power purchases, or asset/contract successions. While the relationship type labeled HAS_PARTNER may be semantically imprecise (it may be more of an affiliate/counterparty to an agreement than a ""partner""), the entity identification itself makes business sense.","Could theoretically refer to a different legal entity name variant (e.g., an older/alternate Entergy Louisiana corporate form), but the successor-in-interest language to Entergy Gulf States Louisiana strongly indicates the Entergy regulated utility now known as Entergy Louisiana, LLC."
42,FRZT,"Freeze Tag, Inc.",,EA,ELECTRONIC ARTS INC.,,HAS_PARTNER,Electronic Arts,"Some of the largest casual game publishers are:

Rovio


(creators of Angry Birds) Esbo, Finland


PopCap Games

 – acquired by Electronic Arts (creators of Bejeweled) Seattle, Washington

Big Fish G",1.000,low,correct,0.95,"The raw mention is the full company name “Electronic Arts” in a videogame publishing context (“PopCap Games – acquired by Electronic Arts”), which directly and unambiguously refers to Electronic Arts Inc. (ticker EA), a well-known global game publisher/acquirer of PopCap. There is no plausible alternative public company commonly called “Electronic Arts” in this industry context.","Freeze Tag is describing major casual game publishers and industry participants; citing EA as the acquirer of PopCap fits the casual/mobile/PC game publishing landscape. Note: the relationship implied by the text is an acquisition/ownership relationship, not a ‘partner’ relationship, but the entity identification itself is correct.","Unlikely; could only refer generically to the concept of ‘electronic arts,’ but the capitalization and explicit acquisition statement point to the company Electronic Arts Inc."
43,ATMU,Atmus Filtration Technologies Inc.,,PCAR,PACCAR INC,,HAS_SUPPLIER,Paccar,"Partnering with leading OEMs

Atmus has a strong history as a supplier to leading OEMs, including Cummins, Daimler, Deere, Doosan, Foton, Komatsu, Paccar/DAF, the Traton Group (Navistar/Scania/MAN), S",1.000,medium,correct,0.93,"The raw mention “Paccar” in the list of “leading OEMs” (Cummins, Daimler, Deere, Komatsu, Paccar/DAF, Traton, etc.) clearly refers to PACCAR Inc., the publicly traded truck OEM that owns the DAF brand. The capitalization/spelling matches the common shortened form of PACCAR, and the paired mention “/DAF” strongly anchors it to PACCAR’s European truck subsidiary (DAF Trucks). Given Atmus’ business (Fleetguard filtration products for on-highway/off-highway vehicles), it is very plausible for Atmus to supply filtration products to PACCAR/DAF as an OEM customer.

Note: the relationship direction implied by the context is that Atmus is a supplier to PACCAR (i.e., PACCAR is a customer/OEM), so a ‘HAS_SUPPLIER’ label may be reversed, but the entity mapping itself is correct.","Plausible and consistent: Atmus makes heavy-duty filtration products and routinely supplies truck OEMs; PACCAR/DAF is a major global truck OEM that would source filtration components. The mention appears in an OEM-customer list, consistent with commercial relationships in this industry.","Unlikely. While other entities could theoretically be called “Paccar,” the explicit ‘Paccar/DAF’ phrasing and OEM list context strongly indicate PACCAR Inc."
44,UCTT,"Ultra Clean Holdings, Inc.",,CLS,CELESTICA INC,,HAS_COMPETITOR,Celestica Inc,"Our principal competitor for gas delivery systems is Ichor Systems, Inc., and our principal competitors for other critical subsystems are Flex Ltd., Foxsemicon Integrated Technology Inc., Jabil, Inc.,",1.000,medium,correct,0.93,"The raw mention is the full corporate name “Celestica Inc,” which directly matches the public company Celestica Inc. (ticker: CLS). In the cited context, Ultra Clean lists principal competitors for critical subsystems alongside Flex Ltd. and Jabil, Inc., which are well-known electronics manufacturing services/contract manufacturing firms—Celestica operates in the same space and is a plausible competitor for outsourced manufacturing and subsystem integration. There are no contextual cues suggesting a different Celestica entity (e.g., a private subsidiary, product name, or non-corporate usage), and the name is not a generic term or ambiguous abbreviation.","Makes sense: UCT provides semiconductor-related subsystems and outsourced manufacturing; Celestica, like Flex and Jabil, offers manufacturing and supply chain/engineering services and can compete for similar subsystem/box-build/integration work. Being listed with Flex and Jabil reinforces the intended referent is the public company Celestica.","Unlikely; could theoretically refer to a non-public affiliate with a similar name, but the exact legal name and competitor list context strongly indicate Celestica Inc. (CLS)."
45,USIO,"Usio, Inc.",,V,VISA INC.,,HAS_PARTNER,Visa,"The cancellation of either contract, termination of their registration or any changes in the Visa, Mastercard or Discover rules that would impair the registration of our third-party processing provide",1.000,medium,correct,0.87,"The mention appears in a payments/merchant processing compliance context: “changes in the Visa, Mastercard or Discover rules…”. In SEC filings, “Visa/Mastercard/Discover rules” commonly refers to the operating regulations of the major card networks. The capitalized brand name “Visa” alongside Mastercard and Discover strongly indicates the Visa payment network/brand, whose public parent is Visa Inc. There is no plausible alternative public company commonly referred to as “Visa” in this specific card-network-rules context.",Usio is a payment processing/merchant services company and would logically reference Visa Inc. (and other card networks) as required network partners/registrations whose rules affect its processing business. This relationship is commercially plausible.,"Could theoretically refer to the Visa card network/brand in an abstract sense rather than a contractual partner entity, but that still maps to Visa Inc. for entity resolution purposes; no better alternative entity fits."
46,EME,"EMCOR Group, Inc.",,TT,Trane Technologies plc,,HAS_SUPPLIER,Trane Technologies,"While the building services industry is also highly fragmented, with most competitors operating in a specific geographic region, a number of large corporations such as Amentum Services, Inc., IAP Worl",1.000,low,incorrect,0.76,"The raw mention ""Trane Technologies"" is an exact name match to Trane Technologies plc (TT), so the entity itself is plausible. However, the surrounding context appears to be describing the competitive landscape in the building services industry (""most competitors... a number of large corporations such as Amentum Services, Inc., IAP Worl...""). In that context, Trane Technologies would be referenced as a large corporation/competitor (or industry participant), not as a supplier to EMCOR. There is no supplier/procurement language (e.g., purchasing equipment, vendor agreements) in the snippet. Therefore, treating this mention as a HAS_SUPPLIER relationship is not supported by context and is likely a misclassification.","EMCOR (a mechanical/electrical contractor) could plausibly purchase HVAC equipment from Trane, so a supplier relationship is possible in general. But the excerpt is explicitly about competitors/industry fragmentation, making the supplier interpretation inconsistent with the described relationship.","The mention likely identifies a large corporation in the broader building services/HVAC space—i.e., a competitor/market participant—rather than a supplier. If the filing section is a competitors list, the correct relationship would be COMPETITOR rather than HAS_SUPPLIER."
47,BTBT,"Bit Digital, Inc",,DELL,Dell Technologies Inc.,,HAS_PARTNER,Dell,"We are an authorized Network Control Processor (“NCP”) with NVIDIA, an authorized partner with SuperMicro
Computer Inc.®, an authorized Communications Service Provider (“CSP”) with Dell, and an offici",1.000,medium,correct,0.86,"The raw mention is simply ""Dell"" in a list of named, specific technology vendors (NVIDIA, SuperMicro Computer Inc.) with formal authorization statuses. In this context, ""Dell"" most naturally refers to Dell Technologies (the well-known enterprise IT and server/storage vendor) and not a generic term or unrelated company. The wording ""authorized Communications Service Provider (CSP) with Dell"" suggests participation in a vendor partner/authorized program, which is consistent with Dell Technologies’ enterprise partner ecosystem (including Dell/EMC products used in data center/HPC environments). There are no contextual clues suggesting a different ""Dell"" entity (e.g., a person, a small private firm, or a different brand).","Plausible: Bit Digital’s HPC/data center operations would reasonably partner with major infrastructure vendors like NVIDIA, Supermicro, and Dell for hardware, solutions, and reseller/partner programs. Being an authorized CSP/partner with Dell fits typical enterprise vendor relationship patterns.","Could theoretically refer to a specific Dell business unit/brand (e.g., Dell EMC) or a regional Dell entity, but these are still within Dell Technologies; no strong alternative public-company interpretation is indicated."
48,CWEN,"Clearway Energy, Inc.",,SPWR,SunPower Inc.,,HAS_SUPPLIER,SunPower Corporation,"The Company's assets are comprised of proven and reliable technologies, provided by leading original solar and wind equipment manufacturers such as General Electric, Siemens AG, SunPower Corporation,",0.950,low,correct,0.88,"The raw mention is “SunPower Corporation,” explicitly naming a well-known U.S. solar module/system manufacturer. In the surrounding context, it appears in a list of “leading original solar and wind equipment manufacturers” alongside General Electric and Siemens—exactly the type of peer group where SunPower (ticker SPWR) belongs. Clearway Energy owns and operates contracted renewable generation assets and would plausibly source solar equipment from SunPower, so the HAS_SUPPLIER relationship is business-logical.

While the provided target profile text appears inconsistent (it describes a blank-check/SPAC entity), the ticker SPWR and the mention “SunPower Corporation” strongly indicate the intended referent is the public solar company historically known as SunPower Corporation (commonly associated with SPWR).",Plausible and consistent: an independent power producer/asset owner like Clearway would use turbines/modules/inverters from OEMs such as GE/Siemens/SunPower; listing them as technology providers indicates supplier/OEM relationship.,"Could theoretically refer to a private/foreign entity with a similar name, but given the explicit ‘SunPower Corporation’ name and OEM-manufacturer context, the most likely referent is the public SunPower (SPWR)."
49,VYX,NCR Voyix Corp,,FIS,"Fidelity National Information Services, Inc.",,HAS_COMPETITOR,Fidelity National Information Services,"In the financial industry, our Banking segment faces a variety of competitors offering financial services and software including, among others, Fidelity National Information Services Inc., Fiserv, Inc",1.000,medium,correct,0.98,"The raw mention explicitly states ""Fidelity National Information Services Inc.,"" which is the full legal name of FIS (Fidelity National Information Services, Inc.). There is no abbreviation or generic term that could plausibly refer to another entity. The surrounding context lists competitors in the financial industry/banking software/services space alongside Fiserv, which aligns with FIS’s well-known market position as a core banking and payments technology provider. Therefore, the competitor relationship is contextually and commercially plausible for NCR Voyix’s Banking segment.","NCR Voyix provides banking/financial technology (e.g., ATM/branch/banking software/services). FIS is a major provider of banking technology and services; being listed as a competitor alongside Fiserv is a common and sensible competitive set.","Unlikely; the full corporate name is specific. Only remote possibility would be a similarly named private affiliate, but the inclusion of ""Inc."" and common competitive peer grouping strongly indicate the public FIS entity."
50,RPAY,Repay Holdings Corp,,MA,Mastercard Inc,,HAS_PARTNER,MasterCard,Our member bank partners sponsor our adherence to the rules and standards of the payment networks and enable us to route transactions under the sponsor banks’ control and identification numbers (for e,1.000,medium,correct,0.93,"The raw mention “MasterCard” is an exact/near-exact name match for Mastercard (commonly stylized MasterCard/Mastercard) and in a payments-processing context it almost always refers to the Mastercard payment network operated by Mastercard Incorporated. The surrounding text discusses “rules and standards of the payment networks” and routing transactions under sponsor banks’ identification numbers—language typical of card network relationships (e.g., Visa, Mastercard). There is no indication it refers to a different entity (e.g., a bank, product line, or unrelated company) and no meaningful alternative public-company candidate with the same name in this context.",Repay Holdings provides payment processing and would plausibly interact with card networks like Mastercard through sponsor/member banks to route card transactions and comply with network rules; describing Mastercard as part of their payments ecosystem/partner set is commercially sensible.,"Could be interpreted narrowly as referring to the Mastercard payment network/brand rather than a direct commercial ‘partner’ relationship with Mastercard Inc., but this is still effectively a reference to Mastercard Inc.’s network and not a different entity."
51,IOVA,"IOVANCE BIOTHERAPEUTICS, INC.",,TIL,"Instil Bio, Inc.",,HAS_COMPETITOR,Instil Bio,"We also may compete with other TIL cell therapies in development by companies such as Instil Bio, Achilles Therapeutics, KSQ Therapeutics, Obsidian Therapeutics, Immatics, TILT Biotherapeutics, WindMI",1.000,low,correct,0.93,"The raw mention is the proper name “Instil Bio,” which is an exact/near-exact match to the public company name Instil Bio, Inc. (ticker TIL). The surrounding context lists multiple companies developing tumor-infiltrating lymphocyte (TIL) cell therapies (e.g., Achilles Therapeutics, Immatics), indicating the reference is to a biotech peer working on TIL therapies, which aligns directly with Instil Bio’s described business (engineered TIL cell therapy programs). There are no indications this is a different entity (not a generic term, not an acronym, and not a common word).",Plausible and expected: Iovance (IOVA) is a leader in TIL therapy commercialization and would reasonably identify other TIL developers like Instil Bio as competitors in risk factors/competition disclosures.,"Unlikely. Could theoretically refer to a private entity with a similar name, but Instil Bio is a distinctive biotech brand and is publicly traded as Instil Bio, Inc.; context in a competitor list of biotechs supports the public company."
52,ARTV,"Artiva Biotherapeutics, Inc.",,ALLO,"Allogene Therapeutics, Inc.",,HAS_COMPETITOR,Allogene Therapeutics,"Our known biopharmaceutical competitors that are developing allogeneic CAR-NK or CAR-T cell therapies or T-cell engaging bispecific antibodies include, but may not be limited to, the following: Adicet",1.000,medium,correct,0.93,"The raw mention “Allogene Therapeutics” is an exact match to the public company name Allogene Therapeutics, Inc. (ticker ALLO). The surrounding context explicitly lists biopharmaceutical competitors developing allogeneic CAR-NK or CAR-T cell therapies or related immuno-oncology modalities, which aligns closely with Allogene’s business focus on off-the-shelf (allogeneic) CAR-T therapies for cancer and autoimmune diseases. There are no obvious alternative well-known entities with the same distinctive name in this sector, and the competitor framing is consistent with the source company’s industry and competitive landscape.",Plausible and expected: a clinical-stage NK-cell therapy company would reasonably cite an allogeneic CAR-T developer like Allogene as a competitor in the broader allogeneic cell therapy space.,Unlikely; the mention is specific and distinctive. A generic or different ‘Allogene’ entity is not suggested by the text.
53,ATEN,"A10 Networks, Inc.",,NTCT,NETSCOUT SYSTEMS INC,,HAS_COMPETITOR,Netscout Systems,"Our main competitors fall into the following categories:
•Companies that sell network security solutions and services including DDoS protection, such as Arbor Networks Inc., a subsidiary of Netscout S",1.000,low,correct,0.92,"The raw mention “Netscout Systems” appears in the phrase “Arbor Networks Inc., a subsidiary of Netscout S…”, which clearly refers to NETSCOUT Systems, Inc. (public company NTCT), the well-known parent of Arbor Networks. The name match is effectively exact (truncated by formatting), and the context is a competitors list for DDoS/network security solutions—an area where Arbor/NETSCOUT competes with A10 Networks. There is no plausible alternative ‘Netscout Systems’ in this industry that would fit this subsidiary reference.",A10 Networks sells DDoS mitigation and network security/availability products; Arbor Networks (a NETSCOUT subsidiary) is a direct competitor in DDoS protection. Mentioning NETSCOUT as Arbor’s parent in a competitor list is commercially plausible; treating NETSCOUT as a competitor via its Arbor business makes sense.,"Unlikely; could only be another privately held ‘Netscout’ entity, but the specific phrasing and known corporate structure (Arbor being owned by NETSCOUT) strongly indicates NETSCOUT Systems, Inc."
54,FARM,FARMER BROTHERS CO,,USFD,US Foods Holding Corp.,,HAS_SUPPLIER,US Foods Holding Corp,"Smucker Company (Folgers Coffee) and The Kraft Heinz Company (Maxwell House Coffee), wholesale foodservice distributors such as Sysco Corporation and US Foods Holding Corp., regional and national coff",0.950,low,correct,0.92,"The raw mention is the full legal name ""US Foods Holding Corp,"" which exactly matches the public company US Foods Holding Corp. (ticker USFD). The surrounding context lists well-known foodservice distributors (e.g., Sysco) and names US Foods alongside them, strongly indicating the intended reference is the major US Foods distributor and not another similarly named entity. There is no meaningful ambiguity for this specific corporate name in U.S. public-company context.","Entity match makes sense: Farmer Bros. is discussing wholesale foodservice distributors in the coffee/foodservice channel. However, the cited context appears to describe competitors/industry participants (Sysco, US Foods) rather than a supplier relationship; the relationship type may be misclassified even though the entity resolution is correct.","Unlikely; the specific corporate name points to US Foods Holding Corp. If misinterpreted at all, it would be about role (competitor/distributor) rather than which entity is referenced."
55,ANET,"Arista Networks, Inc.",,DELL,Dell Technologies Inc.,,HAS_SUPPLIER,Dell,"The data center and campus networking markets have been historically dominated by Cisco, with competition also coming from other large network equipment and system vendors, including Extreme Networks,",1.000,medium,incorrect,0.77,"The provided context describes competitive dynamics in the data center and campus networking markets (historically dominated by Cisco, with competition from other large network equipment and system vendors such as Extreme Networks, etc.). In this setting, a mention of “Dell” would be as a competing systems/networking vendor (e.g., Dell/Dell EMC), not as a supplier to Arista. Therefore, even if “Dell” refers to Dell Technologies, the asserted relationship type (HAS_SUPPLIER) is not supported by the context, indicating a mis-resolution/mislabeling for this relationship extraction. Additionally, the shown snippet does not actually include “Dell” in the visible competitor list, raising the possibility of a truncation or extraction error.","Arista and Dell can be competitors/partners in data center infrastructure, but Arista describing market competition would not imply Dell is a supplier. A supplier relationship would typically appear in procurement/manufacturing or contract manufacturer/component sourcing discussions, not in a competitor list.","“Dell” most plausibly refers to Dell Technologies (or Dell EMC) as a competitor/system vendor in the networking/data center market. If the match was intended as supplier, the mention may instead have been part of a different section (e.g., a component/vendor list) not reflected in the provided context, or it may be a mis-extracted mention from a competitor discussion."
56,HALO,"HALOZYME THERAPEUTICS, INC.",,VTRS,Viatris Inc,,HAS_COMPETITOR,Viatris,"Our competitors include established specialty pharmaceutical companies, major brand name and generic manufacturers of pharmaceuticals such as Teva, Viatris, Eli Lilly and Endo, as well as a wide range",1.000,medium,correct,0.93,"The raw mention is the exact corporate name “Viatris,” which strongly identifies Viatris Inc. There are no common alternative public companies widely known simply as “Viatris,” making the name match high quality and non-generic. The surrounding context lists well-known pharmaceutical manufacturers (Teva, Eli Lilly, Endo) and refers to brand-name and generic manufacturers—Viatris is a large global generics/specialty pharma company, so its inclusion as a competitor is plausible. No contextual cues suggest a different entity (e.g., product name, geography, or acronym ambiguity).",Halozyme operates in biopharma and has products/technology that can face competition from established specialty pharma and large generic/brand manufacturers. Viatris competes in pharmaceuticals broadly; listing it among competitors alongside Teva and others is reasonable.,"Unlikely; could theoretically refer to a private/local entity named Viatris, but given the peer set (Teva, Eli Lilly, Endo) it almost certainly refers to Viatris Inc (VTRS)."
57,RSVR,"Reservoir Media, Inc.",,AAPL,Apple Inc.,,HAS_PARTNER,Apple,"Through our distribution network, our music is being sold in physical retail outlets, as well as via online retailers, such as amazon.com, and distributed in digital form to an ever-expanding universe",1.000,medium,correct,0.74,"The raw mention is simply ""Apple"" in a sentence describing the company’s distribution network, specifically music sold via online retailers (example given: amazon.com) and digital distribution platforms. In this context, ""Apple"" most plausibly refers to Apple Inc. as operator of major digital music retail/streaming channels (iTunes Store, Apple Music), which are commonly cited alongside Amazon as online music retailers. While the music industry also contains entities like Apple Corps/Apple Records, those would not typically be referenced as an online retailer/distribution outlet in the same breath as amazon.com. Therefore the match to Apple Inc. is likely correct, though the single-word mention introduces some residual ambiguity absent explicit “iTunes/Apple Music” wording.",Reservoir Media (a music publisher) distributing/catalog monetizing through digital retailers and streaming services commonly involves Apple’s platforms; treating Apple as a distribution/retail partner is commercially plausible.,"Could theoretically refer to Apple Corps/Apple Records (music-related ""Apple"" brand), but that is unlikely given the surrounding context about online retailers and digital distribution."
58,OSS,"ONE STOP SYSTEMS, INC.",,AVGO,Broadcom Inc.,,HAS_CUSTOMER,Broadcom,"We apply the component technology provided by Intel, AMD, NVIDIA, Micron, Broadcom, and others to deliver solutions to provide true value to our customers.",1.000,medium,incorrect,0.88,"The raw mention ""Broadcom"" in the sentence is part of a list of semiconductor/component technology providers (Intel, AMD, NVIDIA, Micron, Broadcom, etc.). The context explicitly says OSS applies the component technology provided by these firms, which describes suppliers/technology vendors, not customers. While ""Broadcom"" likely refers to Broadcom Inc. (AVGO) as the well-known semiconductor company, the asserted relationship type (HAS_CUSTOMER) is not supported by the text, making this match incorrect in this labeling task.","OSS is a hardware systems vendor integrating third-party chips; it is plausible Broadcom supplies components/technology to OSS, but it is not plausible that Broadcom is being described here as OSS’s customer.","The mention most likely refers to Broadcom Inc. as a component supplier/technology provider. If interpreting only the entity (not the relationship), the entity match would be correct; the correct relationship would be SUPPLIER/USES_TECHNOLOGY_FROM rather than HAS_CUSTOMER."
59,ATI,ATI INC,,BRK-B,BERKSHIRE HATHAWAY INC,,HAS_COMPETITOR,Berkshire Hathaway Inc,"Principal competitors in the HPMC segment include:  Berkshire Hathaway Inc., for nickel-based alloys and superalloys and specialty steel alloys, titanium and titanium-based alloys, and precision forgi",1.000,medium,correct,0.88,"The raw mention is the full legal name “Berkshire Hathaway Inc.”, which unambiguously refers to the public holding company (BRK.B). The context lists principal competitors in ATI’s High Performance Materials and Components (HPMC) segment for nickel-based alloys, titanium alloys, and precision forgings—areas where Berkshire competes through its wholly owned subsidiary Precision Castparts Corp. (PCC), a major producer of titanium and superalloy components/forgings. It is common in SEC filings to cite the parent company name rather than the operating subsidiary when describing competitors. Therefore the entity resolution to Berkshire Hathaway Inc. (BRK-B) is appropriate.","Plausible and consistent: ATI’s HPMC products overlap with Precision Castparts’ aerospace/industrial metals and forgings businesses, which is owned by Berkshire Hathaway. Thus Berkshire (via PCC) can be a competitor in this segment.","Could have been intended to refer specifically to Precision Castparts Corp. rather than the holding company; however the filing explicitly names Berkshire Hathaway Inc., so mapping to BRK-B remains correct."
60,FOUR,"Shift4 Payments, Inc.",,GPN,GLOBAL PAYMENTS INC,,HAS_PARTNER,Global Payments,"We expect the competitive landscape will continue to change in a variety of ways, including:
•rapid and significant changes in technology, resulting in new and innovative payment methods and programs,",1.000,medium,ambiguous,0.55,"The raw mention is the exact name of the public company Global Payments Inc. (GPN), which operates in the same payments processing industry as Shift4, so an SEC filing could plausibly reference it (often as a competitor or industry participant). However, the provided surrounding context is a generic discussion of changes in the competitive landscape and technology, and does not show any explicit partner relationship, nor does it show that “Global Payments” appears in a competitor list or a contractual/relationship description. Additionally, “global payments” can be used as a generic phrase meaning worldwide payment activity; capitalization alone is not sufficient to disambiguate without more nearby text (e.g., listing other company names, ‘Inc.,’ or discussion of a specific agreement). Given the limited context and a questionable relationship type (HAS_PARTNER vs likely competitor/general industry reference), the match cannot be confirmed with high confidence.","Shift4 and Global Payments are in the same industry; mentioning Global Payments as a competitor would be logical, but describing it as a ‘partner’ is not supported by the provided context and is less likely.",The phrase could be a generic reference to global/international payments rather than the specific company Global Payments Inc.; or it could be referencing Global Payments as a competitor rather than a partner.
61,LVLU,"Lulu's Fashion Lounge Holdings, Inc.",,PINS,"PINTEREST, INC.",,HAS_PARTNER,Pinterest,"We use social media including Facebook, Instagram, Pinterest, Snapchat, TikTok, Twitter and YouTube, as well as affiliate marketing, email, SMS, podcast advertisements, promotional partnerships and di",1.000,medium,correct,0.93,"The raw mention is the exact name “Pinterest” appearing in a list of well-known social media platforms (Facebook, Instagram, Pinterest, Snapchat, TikTok, Twitter, YouTube). In this context it clearly refers to the Pinterest social media/discovery platform operated by Pinterest, Inc. There is little risk of confusion with another entity because the mention is grouped with other major consumer social networks and is not used as a generic noun or acronym. Thus the entity match to PINTEREST, INC. (PINS) is appropriate.

One nuance: the surrounding sentence indicates Lulus uses these platforms for marketing/distribution, which is more a “platform/channel used” than a formal strategic partnership. However, that affects relationship typing more than entity resolution—the referenced entity is still Pinterest, Inc.’s service.","Plausible: an online women’s fashion retailer would market via social platforms including Pinterest, which is heavily used for fashion and lifestyle inspiration. Even without a formal partnership, using Pinterest as a marketing channel is common.","Could theoretically refer to a generic concept of ‘pin boards’ or another small product named Pinterest, but the enumeration with other global social networks makes that extremely unlikely."
62,ACN,Accenture plc,,MSFT,MICROSOFT CORP,,HAS_COMPETITOR,Microsoft,"Our strong ecosystem relationships provide a significant competitive advantage, and we are a key partner of a broad range of technology providers, including Adobe, Alibaba, Amazon Web Services, Blue Y",1.000,medium,incorrect,0.86,"The raw mention “Microsoft” in an Accenture 10‑K is overwhelmingly most likely to refer to Microsoft Corporation (MSFT); there is no plausible alternative public company commonly referred to simply as “Microsoft.” However, the provided surrounding context describes Accenture’s “strong ecosystem relationships” and says it is “a key partner of a broad range of technology providers, including …,” which indicates a partner/vendor alliance list rather than a competitive set. Therefore, while the entity identity is clear, the asserted relationship type (HAS_COMPETITOR) is not supported by the context and appears misclassified.","Accenture does compete with parts of Microsoft’s services ecosystem (e.g., consulting, cloud implementation), so a competitor relationship could be plausible in other contexts. But in this specific excerpt, Accenture is explicitly describing technology-provider partnerships, making a competitor label illogical here.","Microsoft is being mentioned as a technology provider/strategic partner in Accenture’s ecosystem (e.g., cloud/platform partner), not as a competitor. If the task is strictly entity resolution, it still maps to MSFT; the error is the relationship classification."
63,BAER,"Bridger Aerospace Group Holdings, Inc.",,NDAQ,"NASDAQ, INC.",,HAS_PARTNER,Nasdaq,"The price of our Common Stock and Warrants may fluctuate significantly due to a number of factors, some of which may be beyond our control,
including those factors discussed in this “Risk Factors” sec",1.000,medium,incorrect,0.85,"The raw mention “Nasdaq” appears in a generic risk factor sentence about the trading price of the company’s common stock and warrants potentially fluctuating. In 10-Ks, this usage typically refers to the Nasdaq stock market/listing venue or the market on which the securities trade, not to a commercial partner relationship. While “Nasdaq” as an entity most naturally maps to Nasdaq, Inc. (NDAQ) or its operated exchange, the context provides no indication of any partnership, vendor, customer, or strategic relationship—only a reference to the securities market. Therefore, the resolution as a HAS_PARTNER relationship to Nasdaq, Inc. is not supported by context/business logic.","Bridger Aerospace would plausibly reference Nasdaq as its listing exchange, but that is not a ‘partner’ relationship; it’s a market venue/regulatory listing context. No partner-type interaction is suggested by the excerpt.","“Nasdaq” refers to the Nasdaq Stock Market (the exchange/listing venue where BAER securities trade), mentioned in a market-risk context rather than identifying Nasdaq, Inc. as a business partner."
64,VRM,"Vroom, Inc.",,CARS,Cars.com Inc.,,HAS_COMPETITOR,Cars.com,"Internet and online automotive sites could change their models to sell used vehicles and compete with us, such as Google, Amazon, AutoTrader.com, Edmunds.com, KBB.com, Autobytel.com, TrueCar.com, CarG",1.000,medium,correct,0.86,"The raw mention is the explicit domain/name “Cars.com,” which is the well-known U.S. online automotive marketplace operated by Cars.com Inc. (ticker CARS). In the provided context, Vroom lists major internet/online automotive platforms that could change their models to sell used vehicles and compete with Vroom (e.g., Google, Amazon, AutoTrader, Edmunds, KBB, Autobytel, TrueCar, CarG[urus]). Cars.com is a direct peer in this category of online automotive marketplaces and is commonly referenced by this exact brand name in risk-factor competitor lists. There is no strong alternative public company that would be referred to as “Cars.com” in this context.","Plausible: Vroom is an online used-vehicle retailer; Cars.com is an online automotive marketplace and digital solutions provider. While Cars.com historically is more of a listings/marketplace and dealer platform than a direct retailer, the filing language explicitly contemplates these sites changing models to sell used vehicles, making Cars.com a sensible named potential competitor.",Unlikely. “Cars.com” here is not a generic term; it is a specific branded website. No better alternative entity fits.
